# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
2048, 5.0, 0.062282, 0.0106986, 0.000850951843526, 0.3457098, 0.0543699323777, 0.0850788, 0.127130396926, 0.4414872, 0.126336626866, 1.4096187, 0.10809085114
2048, 10.0, 0.062444, 0.0110371, 0.000914371746064, 0.3456389, 0.0545525486507, 0.118265, 0.146639242085, 0.474941, 0.177747417503, 2.3877915, 0.026020305837
2500, 0.7, 0.062636, 0.0162416, 0.00152287361262, 0.0414335, 0.0227033121868, 0.1252934, 0.141753892665, 0.1829685, 0.135721385991, 2.0159831, 0.106699551226
2500, 1.0, 0.061893, 0.0165132, 0.000959021146795, 0.0564101, 0.0219887613587, 0.1377277, 0.141815350151, 0.210651, 0.135225919124, 1.6066443, 0.101714853398
2500, 1.6, 0.062336, 0.0160132, 0.000909491484292, 0.0761908, 0.0221774773263, 0.1572248, 0.15356389093, 0.2494288, 0.145640093483, 1.8552597, 0.112856195201
2500, 3.5, 0.062321, 0.0161454, 0.000979869195352, 0.3510477, 0.0550399658177, 0.1126399, 0.128712570656, 0.479833, 0.125024132942, 1.8599264, 0.110894588672
2500, 5.0, 0.062178, 0.0185083, 0.00074769700414, 0.351042, 0.054554984896, 0.2781283, 0.282515766024, 0.6476786, 0.26639065953, 3.4628556, 0.615479880794
2500, 10.0, 0.114345, 0.0190076, 0.000333129464322, 0.370447, 0.0994838955761, 0.2886422, 0.286552334422, 0.6780968, 0.26760802251, 6.5882825, 0.199898325128
3072, 0.7, 0.115155, 0.0267567, 0.000420065244932, 0.0655165, 0.0411897686477, 0.4287964, 0.281189808171, 0.5210696, 0.301907388184, 5.8589789, 0.308968864147
3072, 1.0, 0.114743, 0.0267667, 0.000530996242925, 0.0882846, 0.0408394864493, 0.4346591, 0.287923525924, 0.5497104, 0.264552106674, 4.7374886, 0.294711313405
3072, 1.6, 0.115027, 0.0267175, 0.00044330559437, 0.1179984, 0.0409345631568, 0.379402, 0.297125709873, 0.5241179, 0.321825143926, 5.4991104, 0.312641469037
3072, 3.5, 0.11461, 0.0267877, 0.000401839283794, 0.378515, 0.100128782824, 0.470589, 0.260177868729, 0.8758917, 0.235491729345, 5.4017598, 0.299918904613
3072, 5.0, 0.115895, 0.0266923, 0.000371606525776, 0.3784267, 0.0999885748564, 0.3768936, 0.293252329494, 0.7820126, 0.349789385934, 6.1248882, 0.272374252492
3072, 10.0, 0.116642, 0.026837, 0.000713210628076, 0.37875, 0.100571959145, 0.3821469, 0.300117516149, 0.7877339, 0.27135650579, 10.3219995, 0.316049845723
3500, 0.7, 0.116561, 0.0356739, 0.000447300000001, 0.0795222, 0.0413629051151, 0.6085251, 0.257060635203, 0.7237212, 0.268036712481, 7.6861246, 0.285365393022
3500, 1.0, 0.114432, 0.0354062, 0.000490387357097, 0.1092534, 0.0412503366027, 0.4946672, 0.266920969679, 0.6393268, 0.275126030097, 6.2833566, 0.234868097931
3500, 1.6, 0.114103, 0.0355726, 0.000481352718908, 0.1481899, 0.0423681718356, 0.5296882, 0.282261180346, 0.7134507, 0.304630391015, 7.2042886, 0.25130698874
3500, 3.5, 0.113854, 0.035724, 0.000513893763341, 0.3861807, 0.0993525622378, 0.5209829, 0.270003228609, 0.9428876, 0.312244606298, 7.2127396, 0.257728139572
3500, 5.0, 0.114694, 0.0355559, 0.00051321622149, 0.3864902, 0.0998808410575, 0.5405989, 0.23978194355, 0.962645, 0.271693152454, 7.9868608, 0.283082768708
3500, 10.0, 0.115433, 0.035493, 0.000410061702674, 0.3868793, 0.101078938729, 0.5712807, 0.23220113318, 0.993653, 0.270807316037, 13.4338867, 0.281109035584
