# size, sigma, af kernel [s], af cpy h->d mean [s], af cpy h->d stddev [s], af convolve mean [s], af convolve stddev [s], af cpy d->h mean [s], af cpy d->h stddev [s], af total mean [s], af total stddev [s], vigra mean [s], vigra stddev [s]
2048, 5.0, 0.114852, 0.0127347, 0.000340597724596, 0.3651642, 0.0997185305335, 0.0478612, 0.0284694603911, 0.4257601, 0.0985931214137, 2.5588864, 0.0655822681511
2048, 10.0, 0.115202, 0.0127031, 0.000330643750886, 0.3652566, 0.0998260246571, 0.073117, 0.0538997569679, 0.4510767, 0.137612305285, 4.3897813, 0.013728244025
2500, 0.7, 0.11449, 0.0195981, 0.00237448585803, 0.0505762, 0.0407942015188, 0.0859141, 0.0469806854217, 0.1560884, 0.0508718169957, 3.6738068, 0.0933022411787
2500, 1.0, 0.114323, 0.0194374, 0.00139317401641, 0.0659408, 0.0408696176194, 0.0861048, 0.046420067283, 0.171483, 0.0503236535061, 2.9279336, 0.110640979075
2500, 1.6, 0.114021, 0.0193335, 0.00149995294926, 0.0855378, 0.0408121852363, 0.0845175, 0.0444497188658, 0.1893888, 0.0490275113804, 3.3967491, 0.0953601095516
2500, 3.5, 0.116536, 0.0195284, 0.00200501282789, 0.3698995, 0.0980678556738, 0.0860873, 0.046653273926, 0.4755152, 0.0948978343681, 3.3954459, 0.0821952983965
2500, 5.0, 0.115457, 0.0196017, 0.00216444930872, 0.3703204, 0.0987722185821, 0.0869473, 0.0469121196346, 0.4768694, 0.0951890523991, 3.8361574, 0.076282973512
2500, 10.0, 0.114673, 0.0192971, 0.00126884139671, 0.3704568, 0.0996979553871, 0.0878351, 0.051273520785, 0.477589, 0.0974635331445, 6.5817949, 0.0939566418136
3072, 0.7, 0.114196, 0.0266391, 0.000438540180599, 0.0653433, 0.0407649453331, 0.1609964, 0.0675672951837, 0.2529788, 0.0997816167335, 5.6243168, 0.0501869312029
3072, 1.0, 0.115005, 0.0275069, 0.00250389406525, 0.0883424, 0.0409731494157, 0.1277348, 0.0453876227022, 0.2435841, 0.0435042555929, 4.512159, 0.0837389320842
3072, 1.6, 0.115809, 0.0265751, 0.000370778222121, 0.1181566, 0.0412416384815, 0.1553954, 0.0600159157511, 0.3001271, 0.0917468676211, 5.1988468, 0.0495978530701
3072, 3.5, 0.113965, 0.0267477, 0.00042935208163, 0.3780511, 0.0984719569496, 0.155234, 0.123859727591, 0.5600328, 0.214951906092, 5.2556219, 0.0549066519348
3072, 5.0, 0.1151, 0.0269786, 0.00107974989697, 0.3800901, 0.0995668006892, 0.1497933, 0.0456405845297, 0.556862, 0.0767998778723, 5.847091, 0.0957338295003
3072, 10.0, 0.114288, 0.0267168, 0.000454069113684, 0.3778691, 0.0982966066611, 0.1615704, 0.122212724226, 0.5661563, 0.217380627746, 10.0617795, 0.0427455759167
3500, 0.7, 0.116207, 0.0360104, 0.00176426682789, 0.0794323, 0.0412898971276, 0.161988, 0.0599177364643, 0.2774307, 0.097792316595, 7.3813867, 0.0572611563716
3500, 1.0, 0.115742, 0.0360125, 0.00228848977494, 0.1093132, 0.0413310680525, 0.1761545, 0.0610536637119, 0.3214802, 0.0751793604692, 5.9268829, 0.0653391275798
3500, 1.6, 0.115457, 0.0361777, 0.0025468225321, 0.1474795, 0.0409669878957, 0.1722454, 0.0560030080964, 0.3559026, 0.0710478080059, 6.8357317, 0.0569094564023
3500, 3.5, 0.115737, 0.0362043, 0.00249743196304, 0.3861598, 0.0995283968964, 0.1819483, 0.0538246297749, 0.6043124, 0.0956209941898, 6.8565911, 0.0654600658302
3500, 5.0, 0.115107, 0.0363641, 0.00269120387373, 0.3865543, 0.10009103009, 0.1873349, 0.0574006381436, 0.6102533, 0.0957963232781, 7.7019435, 0.0691012698006
3500, 10.0, 0.115007, 0.0354918, 0.000452230206863, 0.3859866, 0.0988624858611, 0.2282152, 0.103415266516, 0.6496936, 0.196061177435, 13.1270571, 0.0830427390847
