# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
2500, 10, 0.118143, 0.00427327, 5.17211e-05, 0.0321218, 0.0844734, 0.00400048, 0.000317372, 0.0403956, 0.084474, 0.763969, 0.00344995
3072, 0.7, 0.111699, 0.00635859, 6.14757e-05, 0.0121299, 0.0323711, 0.00599025, 0.000430313, 0.0244788, 0.032374, 0.160824, 0.00198496
3072, 1, 0.109984, 0.0063527, 5.64282e-05, 0.0122253, 0.0317526, 0.00599152, 0.000428978, 0.0245696, 0.0317556, 0.192321, 0.00268782
3072, 1.6, 0.112747, 0.00636046, 4.96803e-05, 0.0145597, 0.0335921, 0.00601388, 0.000434246, 0.0269341, 0.033595, 0.260903, 0.00209055
3072, 3.5, 0.110683, 0.00636151, 5.72114e-05, 0.0321483, 0.0841834, 0.00602478, 0.000526807, 0.0445346, 0.084185, 0.453064, 0.00258207
3072, 5, 0.162691, 0.0064227, 9.06697e-05, 0.0445918, 0.13129, 0.0114964, 0.0240015, 0.0625109, 0.133466, 0.938631, 0.0529506
3072, 10, 0.13334, 0.0063681, 4.91427e-05, 0.0363987, 0.101943, 0.00653022, 0.00260293, 0.049297, 0.101976, 1.24934, 0.170235
3500, 0.7, 0.240916, 0.00815055, 6.53288e-05, 0.0235706, 0.0731422, 0.00800712, 0.00165558, 0.0397283, 0.073161, 0.207148, 0.00212211
3500, 1, 0.105334, 0.00814812, 6.10748e-05, 0.0119335, 0.029437, 0.00826057, 0.00299521, 0.0283422, 0.029589, 0.257691, 0.0428264
3500, 1.6, 0.241491, 0.00815068, 6.01305e-05, 0.0151402, 0.0323058, 0.0082798, 0.00285988, 0.0315707, 0.0324322, 0.330068, 0.00251723
3500, 3.5, 0.451992, 0.00822876, 0.000265095, 0.106639, 0.405131, 0.0125601, 0.0213457, 0.127428, 0.405693, 0.744274, 0.186738
3500, 5, 3.20873, 0.00815347, 5.49383e-05, 0.0451845, 0.138232, 0.00856455, 0.00403324, 0.0619025, 0.138291, 0.789363, 0.146367
3500, 10, 3.2576, 0.00832283, 0.000568624, 0.799276, 3.40642, 0.00998148, 0.0107994, 0.81758, 3.40644, 1.4924, 0.0236319
