# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
2500, 10, 0.13048, 0.00428944, 5.94959e-05, 0.0354848, 0.0958652, 0.00424622, 0.00136286, 0.0440205, 0.0958749, 0.74637, 0.000220467
3072, 0.7, 0.13168, 0.00638543, 6.31394e-05, 0.0139259, 0.0376547, 0.0064469, 0.00241488, 0.0267583, 0.0377321, 0.16681, 0.00058959
3072, 1, 0.131164, 0.00637721, 5.9378e-05, 0.0139612, 0.0369252, 0.00644432, 0.00237027, 0.0267828, 0.0370013, 0.200546, 0.000350892
3072, 1.6, 0.129437, 0.00638478, 5.94075e-05, 0.015594, 0.0365845, 0.0064233, 0.00237303, 0.028402, 0.0366614, 0.269175, 0.00017802
3072, 3.5, 0.13082, 0.00638192, 5.45264e-05, 0.0366186, 0.0993512, 0.0063718, 0.00203603, 0.0493723, 0.099372, 0.478206, 0.000201851
3072, 5, 0.141353, 0.00638161, 5.30357e-05, 0.0355052, 0.0941765, 0.0063721, 0.00203697, 0.0482589, 0.0941986, 0.619553, 0.00394638
3072, 10, 0.130279, 0.00638356, 5.21582e-05, 0.0358046, 0.0958167, 0.00635553, 0.00205529, 0.0485436, 0.0958388, 1.13134, 0.000984387
3500, 0.7, 0.125492, 0.00822947, 5.86213e-05, 0.0143769, 0.0378439, 0.00829022, 0.00294339, 0.0308966, 0.0379582, 0.214648, 0.000463983
3500, 1, 0.129799, 0.00822889, 6.34834e-05, 0.0143761, 0.0367183, 0.00828459, 0.00293376, 0.0308895, 0.0368353, 0.259343, 0.000286217
3500, 1.6, 0.129243, 0.00822824, 6.30602e-05, 0.0167421, 0.0370212, 0.00828509, 0.00293827, 0.0332554, 0.0371377, 0.347712, 0.000174962
3500, 3.5, 0.130453, 0.00823133, 5.30819e-05, 0.0361175, 0.0958791, 0.00822197, 0.00263712, 0.0525707, 0.0959154, 0.619975, 0.000151513
3500, 5, 0.130034, 0.00822831, 5.46903e-05, 0.0367351, 0.0984148, 0.00822141, 0.00269462, 0.0531849, 0.0984517, 0.803177, 0.00166919
3500, 10, 0.131155, 0.00823054, 5.4014e-05, 0.0360975, 0.0958864, 0.00822967, 0.00267147, 0.0525577, 0.0959236, 1.4699, 0.000970998
