# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
2500, 10, 0.0615757, 0.00542825, 0.000871934, 0.0992743, 0.0397744, 0.00582395, 0.00251731, 0.110526, 0.0398635, 1.79926, 0.534374
3072, 0.7, 0.113792, 0.00974877, 0.000114183, 0.0425097, 0.0304363, 0.0116853, 0.00620583, 0.0639437, 0.0310628, 0.526193, 0.000290242
3072, 1, 0.114202, 0.00977962, 0.000109134, 0.0527762, 0.0305314, 0.0115598, 0.0057762, 0.0741156, 0.0310732, 0.641552, 0.000428994
3072, 1.6, 0.114472, 0.00973775, 0.00010682, 0.0943784, 0.0306709, 0.0123543, 0.00955701, 0.11647, 0.0321256, 0.839326, 0.000275016
3072, 3.5, 0.11405, 0.00974083, 0.000104549, 0.114494, 0.0728377, 0.0118127, 0.00665183, 0.136047, 0.0731409, 1.38455, 0.000864857
3072, 5, 0.11361, 0.00978158, 0.000103263, 0.114475, 0.0728529, 0.0115916, 0.00584742, 0.135849, 0.0730873, 1.77905, 0.00124995
3072, 10, 0.113444, 0.00972597, 0.000102556, 0.114374, 0.0725425, 0.0115858, 0.00584339, 0.135686, 0.0727775, 3.68345, 0.00101146
3500, 0.7, 0.11426, 0.012473, 0.00011984, 0.0521144, 0.0306302, 0.0154524, 0.00969789, 0.0800398, 0.032129, 0.660104, 0.00123866
3500, 1, 0.113381, 0.0124624, 0.000117393, 0.0650818, 0.0304425, 0.0149853, 0.00760427, 0.0925295, 0.0313781, 0.793975, 0.000416771
3500, 1.6, 0.113643, 0.0124892, 0.000123929, 0.119364, 0.0304701, 0.0150016, 0.00761676, 0.146855, 0.031408, 1.05975, 0.00105051
3500, 3.5, 0.112699, 0.0126485, 0.000132556, 0.119443, 0.0730862, 0.0162379, 0.0120501, 0.148329, 0.0740731, 1.8242, 0.00122784
3500, 5, 0.113675, 0.0125432, 0.000129326, 0.119391, 0.0729378, 0.0150056, 0.00759772, 0.146939, 0.0733325, 2.31434, 0.000999282
3500, 10, 0.113346, 0.0125114, 0.000109831, 0.11963, 0.073008, 0.0154674, 0.0109457, 0.147608, 0.073824, 4.80571, 0.0365881
