# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
3072, 0.7, 0.11346, 0.0063535, 0.00010561, 0.0213202, 0.0398943, 0.0060885, 0.000631751, 0.0337622, 0.0398994, 0.182019, 0.03808
3072, 1, 0.113968, 0.00633687, 8.66446e-05, 0.0232319, 0.0431731, 0.00612191, 0.00059443, 0.0356907, 0.0431773, 0.190288, 0.000913332
3072, 1.6, 0.111677, 0.00634239, 8.05481e-05, 0.0240889, 0.0414214, 0.00611108, 0.000585391, 0.0365424, 0.0414256, 0.253333, 0.00041269
3072, 3.5, 0.114228, 0.00633913, 6.83497e-05, 0.0554404, 0.11133, 0.00610984, 0.000575539, 0.0678894, 0.111331, 0.448732, 0.00488932
3072, 5, 0.116114, 0.00632773, 7.19718e-05, 0.0561579, 0.113798, 0.00611013, 0.000561419, 0.0685957, 0.113799, 0.580403, 0.00413356
3072, 10, 0.108569, 0.00634417, 0.000121561, 0.0584831, 0.113616, 0.00606786, 0.000625248, 0.0708951, 0.113618, 1.15696, 0.026612
3500, 0.7, 0.1077, 0.00816635, 8.51273e-05, 0.0228466, 0.0422586, 0.00792384, 0.0008113, 0.0389368, 0.0422665, 0.204204, 0.000473273
3500, 1, 0.103587, 0.00817395, 8.4688e-05, 0.0216675, 0.039097, 0.00790833, 0.000786975, 0.0377498, 0.039105, 0.244397, 0.000391567
3500, 1.6, 0.113008, 0.00816766, 7.93822e-05, 0.0258669, 0.0429882, 0.00787073, 0.000683776, 0.0419053, 0.0429937, 0.328068, 0.000625716
3500, 3.5, 0.111044, 0.00816453, 7.25418e-05, 0.0561929, 0.112636, 0.00789875, 0.000760561, 0.0722562, 0.112638, 0.57486, 0.000916893
3500, 5, 0.113326, 0.00816165, 6.60747e-05, 0.055858, 0.112882, 0.00790185, 0.000772796, 0.0719215, 0.112885, 0.747299, 0.00136097
3500, 10, 0.115715, 0.00816061, 6.27659e-05, 0.0566197, 0.113009, 0.00785819, 0.000781401, 0.0726385, 0.113012, 1.48178, 0.00593949
