# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
2500, 10, 0.129503, 0.00429981, 6.09373e-05, 0.0352551, 0.0959045, 0.00424745, 0.00136709, 0.0438023, 0.0959142, 0.133326, 0.00120579
3072, 0.7, 0.129292, 0.00639836, 6.98605e-05, 0.0144157, 0.0391781, 0.00643855, 0.00230707, 0.0272526, 0.039246, 0.0300654, 0.00125275
3072, 1, 0.128861, 0.00639346, 6.11757e-05, 0.0140864, 0.0373018, 0.00642996, 0.00229393, 0.0269098, 0.0373723, 0.0353138, 0.00123946
3072, 1.6, 0.124968, 0.00639478, 6.88897e-05, 0.0157378, 0.0372733, 0.00644733, 0.00237763, 0.0285799, 0.0373492, 0.0461817, 0.00108567
3072, 3.5, 0.12958, 0.00638929, 5.50823e-05, 0.0355513, 0.0957379, 0.00637768, 0.00205255, 0.0483183, 0.0957599, 0.0807941, 0.0016902
3072, 5, 0.130677, 0.00639803, 6.12375e-05, 0.0355686, 0.0957936, 0.00637316, 0.00203737, 0.0483398, 0.0958153, 0.10393, 0.00164959
3072, 10, 0.130459, 0.00639794, 6.38542e-05, 0.0364468, 0.0992264, 0.00636065, 0.00205839, 0.0492054, 0.0992477, 0.175529, 0.000412051
3500, 0.7, 0.128804, 0.00825252, 7.2183e-05, 0.0137025, 0.0357969, 0.00828731, 0.00305969, 0.0302423, 0.0359275, 0.0380476, 0.000428951
3500, 1, 0.129106, 0.00824719, 5.90816e-05, 0.0143222, 0.0365484, 0.00826606, 0.00297192, 0.0308354, 0.036669, 0.0458707, 0.000619818
3500, 1.6, 0.128344, 0.00823983, 6.09945e-05, 0.0171397, 0.0383154, 0.00831026, 0.00303018, 0.0336898, 0.0384351, 0.0615569, 0.000518753
3500, 3.5, 0.129347, 0.00824328, 5.49462e-05, 0.0355687, 0.0947588, 0.00822194, 0.00263551, 0.052034, 0.0947955, 0.109403, 0.000327977
3500, 5, 0.146843, 0.00824045, 5.67959e-05, 0.0358017, 0.0957416, 0.00822022, 0.00263013, 0.0522623, 0.0957778, 0.141938, 0.000370131
3500, 10, 0.128309, 0.00824982, 6.0206e-05, 0.0364097, 0.0989929, 0.00822503, 0.00264194, 0.0528846, 0.0990281, 0.244823, 0.000534018
