# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
2500, 10, 0.132509, 0.00431378, 7.19288e-05, 0.0363547, 0.0993778, 0.00424809, 0.00136445, 0.0449165, 0.0993872, 0.116607, 0.000716487
3072, 0.7, 0.133222, 0.00639025, 6.15198e-05, 0.0143299, 0.038962, 0.00646311, 0.00249703, 0.0271832, 0.039042, 0.0279259, 0.00116281
3072, 1, 0.124222, 0.00639639, 7.09954e-05, 0.0144393, 0.0385056, 0.00645502, 0.00238181, 0.0272907, 0.0385793, 0.0312674, 0.00128854
3072, 1.6, 0.1282, 0.00639794, 7.14681e-05, 0.0156317, 0.036721, 0.00642862, 0.00228918, 0.0284583, 0.0367924, 0.0390646, 0.00111856
3072, 3.5, 0.197215, 0.00639684, 5.79757e-05, 0.03851, 0.108183, 0.00637619, 0.00204153, 0.051283, 0.108202, 0.0626325, 0.00107749
3072, 5, 0.130882, 0.00639725, 6.26551e-05, 0.0359685, 0.0960087, 0.00637851, 0.00206599, 0.0487443, 0.0960309, 0.0786935, 0.00190531
3072, 10, 0.126807, 0.0063956, 6.38937e-05, 0.0353262, 0.0944042, 0.00637733, 0.00205131, 0.0480991, 0.0944265, 0.150658, 0.00104339
3500, 0.7, 0.199169, 0.0082471, 7.21828e-05, 0.0169506, 0.0465049, 0.00834408, 0.00316902, 0.0335417, 0.0466128, 0.0354563, 0.000304666
3500, 1, 0.131355, 0.00824278, 6.11293e-05, 0.0145061, 0.0371122, 0.00826129, 0.00295377, 0.0310102, 0.0372296, 0.0407856, 0.000420905
3500, 1.6, 0.125568, 0.00824421, 5.81608e-05, 0.0160499, 0.0349928, 0.00828396, 0.00292356, 0.032578, 0.0351147, 0.0516782, 0.000557502
3500, 3.5, 0.13055, 0.00824993, 5.54232e-05, 0.0366159, 0.0965672, 0.00822249, 0.00264025, 0.0530883, 0.0966033, 0.0844104, 0.000521679
3500, 5, 0.12502, 0.00823621, 5.48031e-05, 0.0354081, 0.094388, 0.00822644, 0.00266128, 0.0518708, 0.0944255, 0.107315, 0.000208425
3500, 10, 0.130768, 0.00824467, 6.50723e-05, 0.0364871, 0.0964259, 0.0081947, 0.00264248, 0.0529265, 0.0964621, 0.211293, 0.000631899
