# (1) size, (2) sigma, (3) af kernel [s], (4) af cpy h->d mean [s], (5) af cpy h->d stddev [s], (6) af convolve mean [s], (7) af convolve stddev [s], (8) af cpy d->h mean [s], (9) af cpy d->h stddev [s], (10) af total mean [s], (11) af total stddev [s], (12) vigra mean [s], (13) vigra stddev [s]
2500, 10, 0.0612353, 0.00469115, 5.61773e-05, 0.0992549, 0.0395959, 0.00433634, 0.00067121, 0.108282, 0.0396016, 1.87441, 0.0272542
3072, 0.7, 0.0615164, 0.00695227, 6.33024e-05, 0.0377473, 0.0165184, 0.00638189, 0.00100825, 0.0510814, 0.0165492, 0.323493, 0.000430504
3072, 1, 0.0619706, 0.00694851, 6.69011e-05, 0.0477976, 0.016713, 0.00636085, 0.0010318, 0.0611069, 0.0167449, 0.388483, 0.00109314
3072, 1.6, 0.0613647, 0.00694714, 6.3276e-05, 0.0893767, 0.0164841, 0.00639989, 0.00100474, 0.102724, 0.0165148, 0.514221, 0.000806947
3072, 3.5, 0.0615455, 0.00695473, 5.64976e-05, 0.104646, 0.039585, 0.00634421, 0.00101506, 0.117945, 0.0395981, 0.92931, 0.00302801
3072, 5, 0.0618511, 0.00695005, 5.44277e-05, 0.104708, 0.0397499, 0.0063444, 0.00104859, 0.118002, 0.0397638, 1.23343, 0.00273705
3072, 10, 0.0656491, 0.00695308, 5.44202e-05, 0.104622, 0.0394167, 0.00636627, 0.00102983, 0.117941, 0.0394302, 2.84744, 0.0140239
3500, 0.7, 0.0614977, 0.00895422, 6.89511e-05, 0.0472933, 0.0165253, 0.00821969, 0.00136158, 0.0644672, 0.0165814, 0.425855, 0.00142842
3500, 1, 0.061546, 0.00894717, 6.95319e-05, 0.0603118, 0.0164911, 0.00811012, 0.00124901, 0.0773691, 0.0165385, 0.527727, 0.00370376
3500, 1.6, 0.061781, 0.00895567, 6.81235e-05, 0.114556, 0.0165756, 0.00825192, 0.0012111, 0.131764, 0.0166199, 0.668941, 0.00111362
3500, 3.5, 0.0615098, 0.00894336, 5.98377e-05, 0.109605, 0.0398035, 0.00813759, 0.00136511, 0.126686, 0.0398269, 1.20865, 0.00440004
3500, 5, 0.0613955, 0.00894998, 5.97803e-05, 0.109579, 0.0397393, 0.00820694, 0.00122097, 0.126736, 0.0397581, 1.60815, 0.00438225
3500, 10, 0.0617166, 0.00894815, 5.63435e-05, 0.109572, 0.039632, 0.00825315, 0.00137831, 0.126773, 0.039656, 3.70711, 0.0461697
